Hour,Uncoord_kW,Uncoord_Loading_pct,Uncoord_Vend,Coord_kW,Coord_Loading_pct,Coord_Vend
0,2.625,10.5,228.288043478261,9.225,36.9,223.266304347826
1,2.25,9,228.532608695652,8.85,35.4,223.510869565217
2,2.1,8.4,228.630434782609,8.7,34.8,222.173913043478
3,2.025,8.1,228.679347826087,8.625,34.5,222.222826086957
4,2.1,8.4,228.630434782609,5.4,21.6,225.04347826087
5,2.625,10.5,228.288043478261,5.925,23.7,224.701086956522
6,3.75,15,227.554347826087,3.75,15,227.554347826087
7,4.875,19.5,226.820652173913,4.875,19.5,226.820652173913
8,4.5,18,227.065217391304,4.5,18,227.065217391304
9,4.125,16.5,227.309782608696,4.125,16.5,227.309782608696
10,3.9,15.6,227.45652173913,3.9,15.6,227.45652173913
11,4.125,16.5,227.309782608696,4.125,16.5,227.309782608696
12,4.5,18,227.065217391304,4.5,18,227.065217391304
13,4.35,17.4,227.163043478261,4.35,17.4,227.163043478261
14,4.125,16.5,227.309782608696,4.125,16.5,227.309782608696
15,4.35,17.4,227.163043478261,4.35,17.4,227.163043478261
16,5.25,21,226.576086956522,5.25,21,226.576086956522
17,6.375,25.5,225.842391304348,6.375,25.5,225.842391304348
18,17.4,69.6,216.5,7.5,30,225.108695652174
19,17.4,69.6,216.5,7.5,30,225.108695652174
20,17.025,68.1,216.744565217391,7.125,28.5,225.353260869565
21,15.9,63.6,217.478260869565,6,24,226.086956521739
22,4.5,18,227.065217391304,7.8,31.2,224.913043478261
23,3.375,13.5,227.798913043478,6.675,26.7,225.646739130435
